4119923295;;;;
#poses;f;isConstant;;
0;2423.54;0;;
2;2423.54;0;;
3;2588.49;0;;
4;2073.33;0;;
5;2058.49;0;;
6;2069.55;0;;
7;2083.71;0;;
8;2103.78;0;;
9;2133.14;0;;
10;2313.94;0;;
11;2323.61;0;;
12;2364.17;0;;
13;2322.75;0;;
14;2386.59;0;;
15;2362.95;0;;
16;2362.59;0;;
17;2382.02;0;;
18;2423.71;0;;
19;2438.58;0;;
20;2440.38;0;;
21;2446.37;0;;
22;2464.62;0;;
23;2503.13;0;;
24;2524.91;0;;
25;2520.98;0;;
26;2509.56;0;;
27;2516.04;0;;
28;2518.24;0;;
29;2518.3;0;;
30;2514.17;0;;
48;2522.31;0;;
50;2517.79;0;;
46;2516.34;0;;
46;2516.22;0;;
46;2516.23;0;;
